clinicid,hospitalname,IsHospital,City,Province,RegionName
692BAEBEC3BB4B53D7EBC3B9FABAC31B,"Perpetual Succour Hospital of Cebu, Inc.",True,Cebu City,Cebu,VII
7F8DFC182100B72F5E7CB91F63F9C8DB,Vicente Sotto Memorial Medical Center,True,Cebu City,Cebu,VII
A337F56F272D96DD929AD2734FC9BA65,Amosup Seamen's Hospital-Cebu,True,Mandaue City,Cebu,VII
F5C150AFBFBCEF941DEF203E85CF40BC,Davao Medical School Foundation Hospital,True,Davao City,Davao del Sur,XI
687FD5C7E0142DFB2DA70E5083B3C6A7,Metro Davao Medical and Research Center,True,Davao City,Davao del Sur,XI
DF83971673DE5C8E71CA1E2645718DAD,Capitol University Medical Center,True,Cagayan de Oro,Misamis Oriental,X
0D352B4D3A317E3EAE221199FDB49651,Rosario Memorial Hospital,True,Guagua,Pampanga,III
FB4C835FEB0A65CC39739320D7A51C02,Novaliches General Hospital,True,Quezon City,Manila,NCR
E1AB840A08F6E72D3BAF13622BEF60AD,Laguna Provincial Hospital (IPHO),True,Santa Cruz,Laguna,IV-A
71DDB91E8FA0541E426A54E538075A5A,Bishop Joseph Regan Memorial Hospital,True,Tagum City,Davao del Norte,XI
D15426B9C324676610FBB01360473ED8,Hospital of the Infant Jesus,True,Manila,Manila,NCR
3472AA3C7E00EE8217F1EB65FE1498E2,The Premier Medical Center,True,Parañaque,Manila,NCR
032DD17B77FAB7D51A476C5FF2B5659C,University Physicians Medical Center,True,Manila,Manila,NCR
38811C5285E34E2E3319AB7D9F2CFA5B,"Queen Mary Help of Christians Hospital, Inc.",True,Cardona,Rizal,IV-A
DBE99818C3B2E453BC03E6FD610D2596,St. Therese De Lima Medical Hospital,True,Teresa,Rizal,IV-A
6E7D5D259BE7BF56ED79029C4E621F44,University of Cebu Medical Center,True,Mandaue City,Cebu,VII
D309CD6396E744600C943FADA20F686A,Meycauayan Doctors Hospital,True,Meycauayan City,Bulacan,III
2342D8A616837CD6D79017FE68172B28,Mary Mount Hospital,True,Meycauayan City,Bulacan,III
1EF4C899CD6F0D5CAE3A2EA3A91ADC1C,Providence Hospital,True,Quezon City,Manila,NCR
C57ABE86DE4E516E12DFA386053FBFE2,St. Luke's Medical Center-Global City,True,Taguig,Manila,NCR
0613239E122094ABB4EF998C01D16958,Asian Hospital and Medical Center,True,Muntinlupa,Manila,NCR
2131F8ECF18DB66A758F718DC729E00E,General Emilio Aguinaldo Memorial Hospital,True,Trece Martires City,Cavite,IV-A
D54CE9DE9DF77C579775A7B6B1A4BDC0,Garcia General Hospital,True,Marikina,Manila,NCR
F8037F94E53F17A2CC301033CA86D278,Antipolo Medical Hospital,True,Antipolo City,Rizal,IV-A
E52AD5C9F751F599492B4F087ED7ECFC,Amang Rodriguez Medical Center,True,Marikina,Manila,NCR
1B33D16FC562464579B7199CA3114982,Pasig Doctors Medical Center,True,Pasig,Manila,NCR
EEEA8C180C5DFF16F68A6B7E2606B430,"San Isidro Hospital, Inc.",True,Angono,Rizal,IV-A
62AC449A212156A4889A47243FC12AF8,Ortigas Hospital and Healthcare Center,True,Cainta,Rizal,IV-A
0BF0B26798F42E0CA56680EC6F103DAA,Fatima University Medical Center - Antipolo City,True,Antipolo City,Rizal,IV-A
95177E528F8D6C7C28A5473FD5A471B6,Visayas Community Medical Center,True,Cebu City,Cebu,VII
62F76987D0C38EB94BB678334B8A8D46,Visayas Community Medical Center,True,Cebu City,Cebu,VII
F0EAF559F89CA17022783964EBE9CDFD,The Medical City,True,Pasig,Manila,NCR
B5ECBBF5782CC7FE9E453F3A2F26F24B,Philippine Orthopedic Center,True,Quezon City,Manila,NCR
75B8241ED29D71D3011AE167116E722C,St. Martin De Porres Charity Hospital,True,San Juan,Manila,NCR
31910E7811999746BCAEC5C692B7F04D,St. Jude Hospital and Medical Center,True,Manila,Manila,NCR
AC73001B1D44F4925449CE09D9F5D5CA,Asian Hospital and Medical Center,True,Muntinlupa,Manila,NCR
073B00AB99487B74B63C9A6D2B962DDC,Makati Medical Center,True,Makati,Manila,NCR
7A4BF9BA2BD774068AD50351FB898076,Bernardino General Hospital I,True,Quezon City,Manila,NCR
FA84632D742F2729DC32CE8CB5D49733,Dr. Jose N. Rodriguez Memorial Hospital,True,Caloocan,Manila,NCR
2B7B82A7EC6DE40781FD6EF338B41892,Providence Hospital,True,Quezon City,Manila,NCR
9332C513EF44B682E9347822C2E457AC,"Metro Antipolo Hospital and Medical Center, Inc.",True,Antipolo City,Rizal,IV-A
D8847BE3F7CC1B14E9173908BEBB2106,Our Lady of Mount Carmel Medical Center - Clark,True,Mabalacat City,Pampanga,III
713586FE8B2DD639AAC846E8AC1536A2,"Angeles Medical Center, Inc.",True,Angeles City,Pampanga,III
33169E6C57113F6DE6B49FB5D8D32838,Angeles University Foundation Medical Center,True,Angeles City,Pampanga,III
706608CFDBCC1886BB7EEA5513F90133,The Medical City,True,Pasig,Manila,NCR
CC9657884708170E160C8372D92F3535,Holylife Hospital,True,Pasig,Manila,NCR
75C58D36157505A600E0695ED0B3A22D,Zamboanga Arturo Eustaquio Colleges Community Medical Center,True,Zamboanga City,Zamboanga del Sur,IX
9DDB9DD5D8AEE9A76BF217A2A3C54833,Quezon City General Hospital,True,Quezon City,Manila,NCR
C1D0F19C3F827DAF0EDD3E69C3B195A9,Cardinal Santos Medical Center,True,San Juan,Manila,NCR
946E3ECE1FC8B24BD656449D88ECA941,Commonwealth Hospital and Medical Center,True,Quezon City,Manila,NCR
440924C5948E05070663F88E69E8242B,Skyline Hospital and Medical Center,True,San Jose del Monte City,Bulacan,III
7288251B27C8F0E73F4D7F483B06A785,"Mayor Hilarion A. Ramiro, Sr. Regional Training and Teaching Hospital",True,Ozamiz City,Misamis Occidental,X
980A875FF6EF9C2D75E74307CBF5D205,"Dr. Yanga's Hospital, Inc.",True,Bocaue,Bulacan,III
CFCCE0621B49C983991EAD4C3D4D3B6B,Our Lady of Mercy General Hospital,True,Pulilan,Bulacan,III
861578D797AEB0634F77AFF3F488CCA2,Hospital of the Infant Jesus,True,Manila,Manila,NCR
3B3FFF6463464959DCD1B68D0320F781,"Dr. Yanga's Hospital, Inc.",True,Bocaue,Bulacan,III
159C1FFE5B61B41B3C4D8F4C2150F6C4,"St. Paul Hospital Bulacan, Inc.",True,Bocaue,Bulacan,III
8F97D1D7E02158A83CEB2C14FF5372CD,Providence Hospital,True,Quezon City,Manila,NCR
9F810EBD27F4DBCF1CCC9302E5125F08,Our Lady of Mercy General Hospital,True,Pulilan,Bulacan,III
1EFF77814E0B3238495A9F07D061703C,Providence Hospital,True,Quezon City,Manila,NCR
384356F782D932AC1DCAF8A4E67AC041,Allied Care Experts (ACE) Medical Center - Baliwag,True,Baliuag,Bulacan,III
ACA167FCEFBFA307B488DF50FEBF6BBF,Allied Care Experts (ACE) Medical Center - Baliwag,True,Baliuag,Bulacan,III
6FAB6E3AA34248EC1E34A4AEEDECDDC8,Dr. Jose Fabella Memorial Hospital,True,Manila,Manila,NCR
F24AD6F72D6CC4CB51464F2B29AB69D3,De La Salle University Medical Center,True,Dasmariñas City,Cavite,IV-A
0E9D935F7E3F2B502450C049DDBC7C92,Molino Doctors Hospital,True,Bacoor City,Cavite,IV-A
23378A2D0A25C6ADE2C1DA1C06C5213F,Davao Medical School Foundation Hospital,True,Davao City,Davao del Sur,XI
59C8004549652A8E0DF44E0B19AEA664,Metro Davao Medical and Research Center,True,Davao City,Davao del Sur,XI
69BFA2AA2B7B139FF581A806ABF0A886,"Brokenshire Integrated Health Ministries, Inc.",True,Davao City,Davao del Sur,XI
A3EC6DD8D538712A581E5B24726CE062,"St. Paul Hospital Bulacan, Inc.",True,Bocaue,Bulacan,III
6ABCC8F24321D1EB8C95855EAB78EE95,"Dr. Yanga's Hospital, Inc.",True,Bocaue,Bulacan,III
C79EC57A8E72A87D8A69D2C6B8A2A8D4,Allied Care Experts (ACE) Medical Center - Valenzuela,True,Valenzuela,Manila,NCR
8F7F2375BA3E2EE3ADF67D0E32C683D5,Novaliches General Hospital,True,Quezon City,Manila,NCR
E33BFF0CE02E89288C6FFE7CDD646389,"St. Paul Hospital Bulacan, Inc.",True,Bocaue,Bulacan,III
69386F6BB1DFED68692A24C8686939B9,Maria Lourdes Maternity Hospital,True,Makati,Manila,NCR
7B8BC3700CE886E8627F41E799FE764F,ACE Dumaguete Doctors,True,Dumaguete City,Negros Oriental,VII
8F0CA6A7AFDA126DF10BEDB633192388,Holy Child Hospital,True,Dumaguete City,Negros Oriental,VII
085774E529F8C6611741CDB352F364BC,Silliman University Medical Center,True,Dumaguete City,Negros Oriental,VII
6B770F3B7C281868EC42C36703320EB2,Holy Child Hospital,True,Dumaguete City,Negros Oriental,VII
79AD6A5EAE2EAC1F159B0EA9B2D726C0,Silliman University Medical Center,True,Dumaguete City,Negros Oriental,VII
783919A58A6CEA9B67089921677BB689,Holy Child Hospital,True,Dumaguete City,Negros Oriental,VII
8B6093B183C7D539FF2417F9CA13DE54,Negros Polymedic Hospital,True,Sibulan,Negros Oriental,VII
6041439A1A9478356CE148265B1ACA7E,Negros Oriental Provincial Hospital,True,Dumaguete City,Negros Oriental,VII
1238CE902C7B3E1628B8245892D60E5E,Cardinal Santos Medical Center,True,San Juan,Manila,NCR
09060616068D2B9544DC33F2FBE4CE2D,MCUFilemon Dionisio Tanchoco Medical Foundation Hospital,True,Caloocan,Manila,NCR
4191992C18A06A78886B230886197D9B,Martinez Memorial Hospital,True,Caloocan,Manila,NCR
26CF85FBD6B5E6023FAC42EC39312A51,Manila East Medical Center,True,Taytay,Rizal,IV-A
571962A69FE39E95C60AD4BA6CE2FA05,Veterans Memorial Medical Center,True,Quezon City,Manila,NCR
307E9C61450651AA146FA8DA4DDD4906,Urology Center of the Philippines,True,Quezon City,Manila,NCR
62DAD6E273D32235AE02B7D321578EE8,Lung Center of the Philippines,True,Quezon City,Manila,NCR
8CE5D989374D216A867CDC8871484B43,Dr. Jesus C. Delgado Memorial Hospital,True,Quezon City,Manila,NCR
D2683CE61EC245DA45C853E6385E705C,The Medical City,True,Pasig,Manila,NCR
831B1AC54CC8DB480E3BABAC5FA2256B,Valenzuela City Emergency Hospital,True,Valenzuela,Manila,NCR
36ED197B3F31618FDBADB3DF86F804BD,Butuan Doctor's Hospital,True,Butuan City,Agusan del Norte,XIII
C34A7191F6E9948068B83E7179EA3DA8,Butuan Doctor's Hospital,True,Butuan City,Agusan del Norte,XIII
048E9AEE4FFE42EFBF7865F0BD5A2FA4,Manuel J. Santos Hospital,True,Butuan City,Agusan del Norte,XIII
1AE6464C6B5D51B363D7D96F97132C75,Butuan Puericulture Center,True,Butuan City,Agusan del Norte,XIII
C55267F7BB895914A9181A94A0D9B4C3,Butuan Doctor's Hospital,True,Butuan City,Agusan del Norte,XIII
42EE10F5E3BF07E153D48D2FF8BDB520,ACE Medical Center - Butuan,True,Butuan City,Agusan del Norte,XIII
73880287595CD991B800D5C69E16F33E,Southern Philippines Medical Center,True,Davao City,Davao del Sur,XI
20F30CDEDCB8BF996A1A5D1ADCBA3714,Tanza Specialists Medical Center,True,Tanza,Cavite,IV-A
B303E112538E17F075EDD0CEDA17C73E,Dr. Montano G. Ramos General Hospital,True,Quezon City,Manila,NCR
99E0722E1AA545671C53329A03371F86,QualiMed Clinic (Sta. Rosa),True,Santa Rosa City,Laguna,IV-A
9447C4D7588ECA940172679B4878FF9C,Emilio Aguinaldo College Medical Center of Cavite,True,Dasmariñas City,Cavite,IV-A
DBA132F6AB6A3E3D17A8D59E82105F4C,Cardinal Santos Medical Center,True,San Juan,Manila,NCR
BA3C5E7B68DBDB900C4EE701DF6CD6B5,"J. P. Sioson General Hospital and Colleges, Inc.",True,Quezon City,Manila,NCR
0CB15D2DA6AEB47C10FEE170AE37EC89,"Sacred Heart Hospital of Malolos, Inc.",True,Malolos City,Bulacan,III
AC8CD1808DC30460A81CAB1B0E6652FA,Manila Doctors Hospital,True,Manila,Manila,NCR
2996962656838A97AF4C5F926FE6F1B0,ManilaMed - Medical Center Manila,True,Manila,Manila,NCR
331316D4EFB44682092A006307B9AE3A,De Los Santos Medical Center,True,Quezon City,Manila,NCR
69EBF66B3DE72CC233FE47EB0CB8D48F,"Metro Antipolo Hospital and Medical Center, Inc.",True,Antipolo City,Rizal,IV-A
F10A50DC1A125C20236EC09AA242C36B,Pacific Global Medical Center,True,Quezon City,Manila,NCR
0A2A51DAC6138826127F093500461D91,Cardinal Santos Medical Center,True,San Juan,Manila,NCR
B0AB42FCB7133122B38521D13DA7120B,The Medical City,True,Pasig,Manila,NCR
69F268FB2BA1068615B3219C6E8F57E8,Commonwealth Hospital and Medical Center,True,Quezon City,Manila,NCR
B7EE0D0D4D5EF995AAE0FC691E6D840D,Quezon City General Hospital,True,Quezon City,Manila,NCR
E02A35B1563D0DB53486EC068EBAB80F,New Era General Hospital,True,Quezon City,Manila,NCR
59A3ADEA76FADCB6DD9E54C96FC155D1,Callang General Hospital,True,Santiago City,Isabela,II
A74D1FF33E951286F8B41BD995F0C5E0,De Vera's Medical Center,True,Santiago City,Isabela,II
A36B598ABB934E4528412E5A2127B931,East Ave. Medical Center,True,Quezon City,Manila,NCR
2151B4C76B4DCB048D06A5C32942B6F6,Dr. Jesus C. Delgado Memorial Hospital,True,Quezon City,Manila,NCR
995F5E03890B029865F402E83A81C29D,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
32E0BD1497AA43E02A42F47D9D6515AD,General Miguel M. Malvar Medical Foundation,True,Quezon City,Manila,NCR
F471223D1A1614B58A7DC45C9D01DF19,"Kidapawan Doctors Hospital, Inc.",True,Kidapawan City,Cotabato,XII
14491B756B3A51DAAC41C24863285549,Silliman University Medical Center,True,Dumaguete City,Negros Oriental,VII
0B24D8469D6C1277A4ACB549D97B8A25,Holy Child Hospital,True,Dumaguete City,Negros Oriental,VII
9B22A40256B079F338827B0FF1F4792B,ACE Dumaguete Doctors,True,Dumaguete City,Negros Oriental,VII
21C5BBA1DD6AED9AB48C2B34C1A0ADDE,Philippine Heart Center,True,Quezon City,Manila,NCR
0987B8B338D6C90BBEDD8631BC499221,Alterado General Hospital,True,Davao City,Davao del Sur,XI
5E2E5F9C8346F7C13A6DAA6FF65C63A8,Alterado General Hospital,True,Davao City,Davao del Sur,XI
E59AD1CE9A15F8E110D1C7CCC7908CB2,Alterado General Hospital,True,Davao City,Davao del Sur,XI
C899810667792ACCCEA5A7FB0A4000E3,Alterado General Hospital,True,Davao City,Davao del Sur,XI
8B9E7AB295E87570551DB122A04C6F7C,University Physicians Medical Center,True,Manila,Manila,NCR
FAE638868C63F0BC5F9E26B95B828049,Divine Word Hospital,True,Tacloban City,Leyte,VIII
61EAAF283FE86B62752354C8E003E6F1,Allied Care Experts (ACE) Medical Center - Tacloban,True,Tacloban City,Leyte,VIII
0CD6A652ED1F7811192DB1F700C8F0E7,ManilaMed - Medical Center Manila,True,Manila,Manila,NCR
97108695BD93B6BE52FA0334874C8722,Providence Hospital,True,Quezon City,Manila,NCR
75DF63609809C7A2052FDFFE5C00A84E,UP-Philippine General Hospital,True,Manila,Manila,NCR
E0EACD983971634327AE1819EA8B6214,Asian Hospital and Medical Center,True,Muntinlupa,Manila,NCR
F621585DF244E9596DC70A39B579EFB1,"Evangelista Medical Specialty Hospital, Inc.",True,San Pedro City,Laguna,IV-A
EA81A3D20BF98EF2C9BEF9DC24EC777A,ManilaMed - Medical Center Manila,True,Manila,Manila,NCR
